urn:cts:greekLit:tlg5026.msA.hmt:1.120.comment	δυσκατάπαυστος ἕχουσι κατηγορία οργιζόμενοι ἐπαναπολέω αξίαν ἐρῶ ἐντεῦθεν νέοςXνεώτερος ὁρμάωXὁρμέω ἱστορέω ἕλλην αυλίδι πολέωXπόλις βοιωτιας ἀθροίζω ἄπλοια κατασχεθέντων κάλχαςXκάλχη μάντις ἐκφωνέω δύναμαι ἴλιXἴλιονXἴλιοςXἴλιοσλιος ἄλλοςXἄλλως ἐκπλέω ἀγαμέμνων ἰφίγενειαXἰφιγένειαXἰφιγενεία θυγάτηρ σφαγιασῃ ἄρτεμις φονάωXφονεύωXφονόω ἱεράXἱερός αἶγ στρέφω άλσει τούτο καυχάομαι εἶπον οὐτὲ ἄρτεμις τοξεύω αγαμέμνονος ἀνάγκη παρίστημι κορην βωμός κατά-οἰκτειρέω θεά ἔλαφος παρθένος παρίστημι σώζω ταῦρος σκυθιας ἱερός θεάομαιXθεάωXθεός εἶπον πέμπω ἱστορία νέοςXνεώτερος δίκτυς γράφω τρῳϊκά
urn:cts:greekLit:tlg5026.msA.hmt:1.121.comment	κῆρ ἡδύς προσηνής ταυτόν θυμαρής
urn:cts:greekLit:tlg5026.msA.hmt:1.122.comment	αριστάρχου ἀριστοφάνης ἐμφατικός οὔτε δίς
urn:cts:greekLit:tlg5026.msA.hmt:1.1225.comment	ἑξῆςXἔχω χρυσης μετέρχομαι ἀναφορά σημείωσις ἡμέραXἡμερόω ἀριθμός
urn:cts:greekLit:tlg5026.msA.hmt:1.1226.comment	πυρώδης ἀήρ ὀρθρόωXὄρθρος γίγνομαι ἀνατολῆ σχῆμα χείρ δάκτυλος παρίστημι ἀκτίςXἄκτινος σχῆμα συνεκδοχικός μέρος ὄλον φάοςXφώς ἔχω οὔτως καλέω σκοτόωXσκότος κροκόπεπλος
urn:cts:greekLit:tlg5026.msA.hmt:1.1227.comment	ἱκνέομαι ὐργὸν ϊκμάδα ἄλλος φημί ἀνεμόωXἄνεμος μένος ὑγρός ἄημι ἰ¨κμαδος ὑδατόωXὕδωρ ἀτμίζω ἄνεμος γίγνομαι ψιλωτέον ἱκνέομαι ἅμα φύςXφύσιςXφύω ἀνεμόωXἄνεμος διδάσκω στυγνός λοιμός διασκεδάζω ἄνεμος
urn:cts:greekLit:tlg5026.msA.hmt:1.1228.comment	στερεός σανίςXσανιδόω ὑπάρχω ξύλον θεμελιόν ἐποικοδομέω ἄλλος ξύλον ναόςXναῦςXνεώς
urn:cts:greekLit:tlg5026.msA.hmt:1.1229.comment	ἕρμα ἔρεισμα ψιλόω βραχύνω φωνήεις καταλήγω ρ επιφερομένου μ δασύνω όρμος ἅρμα ἑρμάζωXἑρμῆς ὀρμαθός ἔνθενXἔρχομαι πλέωXπλέωςXπλείων χρῆσις ἁρμός δασύνω ἀραρίσκω ὅρμενος ψιλός πνεῦμα ἀναδέχομαιXἀναδείκνυμι
urn:cts:greekLit:tlg5026.msA.hmt:1.123.comment	συνηθεια κακός στίζω σημαίνω κακόμαντις ήτοι δυσφημον κάλχας ἀεί λοιδορέω ἀγαμέμνων παρακολουθέω ἀεί μάντις ἰδέωXἰδίωXἴδιος ἁμάρτημα κάλχας προστρίβω μάντις τότε χρεῖος ὅταν συμφορα εἰμίXὦσις
urn:cts:greekLit:tlg5026.msA.hmt:1.1230.comment	ψάμαθος ποτάμιος καλέω κεῖμαι ψάμαθος αἴσηπος
