-	-	Most Frequent Occuring Words for Scholia Type	-	-
urn	name	Occurrences of Name in Scholia Type	Percentage of Name against Total Names Mentioned	Percentage of Name against Total Nummber of Words in Scholia Type
urn:cite:hmt:pers.pers644	Endymion	3	0.08%	0.0%
urn:cite:hmt:pers.pers161	Pulaimenes	3	0.08%	0.0%
urn:cite:hmt:pers.pers616	Cerberus	3	0.08%	0.0%
urn:cite:hmt:pers.pers766	Chromius	3	0.08%	0.0%
urn:cite:hmt:pers.pers307	Ammonius	3	0.08%	0.0%
urn:cite:hmt:pers.pers27	Aegisthus	3	0.08%	0.0%
urn:cite:hmt:pers.pers56	Crinis	3	0.08%	0.0%
urn:cite:hmt:pers.pers101	Pyrrha	3	0.08%	0.0%
urn:cite:hmt:pers.pers1035	Ate	3	0.08%	0.0%
urn:cite:hmt:pers.pers1008	Alcyone	3	0.08%	0.0%
urn:cite:hmt:pers.pers535	Hecuba	3	0.08%	0.0%
urn:cite:hmt:pers.pers642	Epeius	3	0.08%	0.0%
urn:cite:hmt:pers.pers562	Iapetus	3	0.08%	0.0%
urn:cite:hmt:pers.pers107	Chrysippus	3	0.08%	0.0%
urn:cite:hmt:pers.pers522	Molion	3	0.08%	0.0%
urn:cite:hmt:pers.pers1004	Celaeno	2	0.05%	0.0%
urn:cite:hmt:pers.pers262	Persephone	2	0.05%	0.0%
urn:cite:hmt:pers.pers352	Atalanta	2	0.05%	0.0%
urn:cite:hmt:pers.pers670	Aeschrion	2	0.05%	0.0%
urn:cite:hmt:pers.pers677	Eurytus	2	0.05%	0.0%
urn:cite:hmt:pers.pers558	Pandocus	2	0.05%	0.0%
urn:cite:hmt:pers.pers921	Hyperenor	2	0.05%	0.0%
urn:cite:hmt:pers.pers685	Theia	2	0.05%	0.0%
urn:cite:hmt:pers.pers645	Chloris	2	0.05%	0.0%
urn:cite:hmt:pers.pers2	Lycomedes	2	0.05%	0.0%
urn:cite:hmt:pers.pers621	Ophion	2	0.05%	0.0%
urn:cite:hmt:pers.pers497	Meges	2	0.05%	0.0%
urn:cite:hmt:pers.pers509	Antenor	2	0.05%	0.0%
urn:cite:hmt:pers.pers240	Phemius	2	0.05%	0.0%
urn:cite:hmt:pers.pers525	Nicander	2	0.05%	0.0%
urn:cite:hmt:pers.pers547	Polypoetes	2	0.05%	0.0%
urn:cite:hmt:pers.pers146	Hyperion	2	0.05%	0.0%
urn:cite:hmt:pers.pers424	Panopeus	2	0.05%	0.0%
urn:cite:hmt:pers.pers33	Iphigenia	2	0.05%	0.0%
urn:cite:hmt:pers.pers926	Polydectes	2	0.05%	0.0%
urn:cite:hmt:pers.pers536	"Dionysius Sidonius"	2	0.05%	0.0%
urn:cite:hmt:pers.pers205	Aeolus	2	0.05%	0.0%
urn:cite:hmt:pers.pers102	Epimetheus	2	0.05%	0.0%
urn:cite:hmt:pers.pers467	Eurytus	2	0.05%	0.0%
urn:cite:hmt:pers.pers486	Isos	2	0.05%	0.0%
urn:cite:hmt:pers.pers261	Adonis	2	0.05%	0.0%
urn:cite:hmt:pers.pers62	Belus	2	0.05%	0.0%
urn:cite:hmt:pers.pers272	Pisistratus	2	0.05%	0.0%
urn:cite:hmt:pers.pers537	Sophron	2	0.05%	0.0%
urn:cite:hmt:pers.pers491	Telephus	2	0.05%	0.0%
urn:cite:hmt:pers.pers507	Helenus	2	0.05%	0.0%
urn:cite:hmt:pers.pers1003	Taygete	2	0.05%	0.0%
urn:cite:hmt:pers.pers566	Terpsichore	2	0.05%	0.0%
urn:cite:hmt:pers.pers130	Aegina	2	0.05%	0.0%
urn:cite:hmt:pers.pers348	Archesilaus	2	0.05%	0.0%
urn:cite:hmt:pers.pers565	Linus	2	0.05%	0.0%
urn:cite:hmt:pers.pers189	Proteus	2	0.05%	0.0%
urn:cite:hmt:pers.pers315	Icarus	2	0.05%	0.0%
urn:cite:hmt:pers.pers193	Graces	2	0.05%	0.0%
urn:cite:hmt:pers.pers518	Aesymnus	2	0.05%	0.0%
urn:cite:hmt:pers.pers543	Chersidamas	2	0.05%	0.0%
urn:cite:hmt:pers.pers126	Argus	2	0.05%	0.0%
urn:cite:hmt:pers.pers174	Briareus	2	0.05%	0.0%
urn:cite:hmt:pers.pers902	Eurymedon	2	0.05%	0.0%
urn:cite:hmt:pers.pers185	Philitas	2	0.05%	0.0%
urn:cite:hmt:pers.pers481	Deimos	2	0.05%	0.0%
urn:cite:hmt:pers.pers718	Lycurgus	2	0.05%	0.0%
urn:cite:hmt:pers.pers470	Amphidamas	2	0.05%	0.0%
urn:cite:hmt:pers.pers1053	Dionysius	2	0.05%	0.0%
urn:cite:hmt:pers.pers93	Thestius	2	0.05%	0.0%
urn:cite:hmt:pers.pers305	Litai	2	0.05%	0.0%
urn:cite:hmt:pers.pers54	Leucothea	2	0.05%	0.0%
urn:cite:hmt:pers.pers508	Deiphobus	2	0.05%	0.0%
urn:cite:hmt:pers.pers334	Theano	2	0.05%	0.0%
urn:cite:hmt:pers.pers297	Io	2	0.05%	0.0%
urn:cite:hmt:pers.pers640	Mecisteus	2	0.05%	0.0%
urn:cite:hmt:pers.pers362	Schedius	2	0.05%	0.0%
urn:cite:hmt:pers.pers275	Cteatus	2	0.05%	0.0%
urn:cite:hmt:pers.pers345	Peneleus	2	0.05%	0.0%
urn:cite:hmt:pers.pers319	Philostephanus	2	0.05%	0.0%
urn:cite:hmt:pers.pers404	Pelias	2	0.05%	0.0%
urn:cite:hmt:pers.pers410	Harmonia	2	0.05%	0.0%
urn:cite:hmt:pers.pers679	Praxagoras	2	0.05%	0.0%
urn:cite:hmt:pers.pers639	Castianeira	2	0.05%	0.0%
urn:cite:hmt:pers.pers112	Sosigenes	2	0.05%	0.0%
urn:cite:hmt:pers.pers527	Salmoneus	2	0.05%	0.0%
urn:cite:hmt:pers.pers354	Euphorion	2	0.05%	0.0%
urn:cite:hmt:pers.pers166	Ceryx	2	0.05%	0.0%
urn:cite:hmt:pers.pers336	Iphitus	2	0.05%	0.0%
urn:cite:hmt:pers.pers524	Philaeus	2	0.05%	0.0%
urn:cite:hmt:pers.pers347	Hyrieus	2	0.05%	0.0%
urn:cite:hmt:pers.pers567	Euterpe	2	0.05%	0.0%
urn:cite:hmt:pers.pers151	Ixion	2	0.05%	0.0%
urn:cite:hmt:pers.pers534	Hermapias	2	0.05%	0.0%
urn:cite:hmt:pers.pers1007	Sterope	2	0.05%	0.0%
urn:cite:hmt:pers.pers331	Penthesilea	2	0.05%	0.0%
urn:cite:hmt:pers.pers256	Demosthenes	2	0.05%	0.0%
urn:cite:hmt:pers.pers532	Clysonymus	2	0.05%	0.0%
urn:cite:hmt:pers.pers520	Notus	2	0.05%	0.0%
urn:cite:hmt:pers.pers173	Hyas	2	0.05%	0.0%
urn:cite:hmt:pers.pers741	Eurypylus	2	0.05%	0.0%
urn:cite:hmt:pers.pers646	Chronius	2	0.05%	0.0%
urn:cite:hmt:pers.pers25	Aerope	2	0.05%	0.0%
urn:cite:hmt:pers.pers138	Alkmin	2	0.05%	0.0%
urn:cite:hmt:pers.pers487	Antiphus	2	0.05%	0.0%
urn:cite:hmt:pers.pers171	Andromache	2	0.05%	0.0%
urn:cite:hmt:pers.pers501	Tryphon	2	0.05%	0.0%
urn:cite:hmt:pers.pers523	Peiraeus	2	0.05%	0.0%
urn:cite:hmt:pers.pers111	Scamander	2	0.05%	0.0%
urn:cite:hmt:pers.pers80	Hesione	2	0.05%	0.0%
urn:cite:hmt:pers.pers643	Eurypyle	2	0.05%	0.0%
urn:cite:hmt:pers.pers735	Thoas	2	0.05%	0.0%
urn:cite:hmt:pers.pers1005	Merope	2	0.05%	0.0%
urn:cite:hmt:pers.pers627	Neoteles	2	0.05%	0.0%
urn:cite:hmt:pers.pers539	Strymon	2	0.05%	0.0%
urn:cite:hmt:pers.pers133	Sisyphus	2	0.05%	0.0%
urn:cite:hmt:pers.pers574	Nausithous	2	0.05%	0.0%
urn:cite:hmt:pers.pers220	Tros	2	0.05%	0.0%
urn:cite:hmt:pers.pers165	Cecrops	2	0.05%	0.0%
urn:cite:hmt:pers.pers568	Thalia	2	0.05%	0.0%
urn:cite:hmt:pers.pers91	Tyndareus	2	0.05%	0.0%
urn:cite:hmt:pers.pers30	Orestes	2	0.05%	0.0%
urn:cite:hmt:pers.pers12	Ion	2	0.05%	0.0%
urn:cite:hmt:pers.pers675	Dardanus	2	0.05%	0.0%
urn:cite:hmt:pers.pers665	Aeetes	2	0.05%	0.0%
urn:cite:hmt:pers.pers570	Palaiphatos	2	0.05%	0.0%
urn:cite:hmt:pers.pers664	Medea	2	0.05%	0.0%
urn:cite:hmt:pers.pers288	Protesilaos	2	0.05%	0.0%
urn:cite:hmt:pers.pers444	Erichthonius	2	0.05%	0.0%
urn:cite:hmt:pers.pers451	Iphidamas	2	0.05%	0.0%
urn:cite:hmt:pers.pers13	Achaeus	2	0.05%	0.0%
urn:cite:hmt:pers.pers73	Aleus	2	0.05%	0.0%
urn:cite:hmt:pers.pers1019	Aratus	2	0.05%	0.0%
urn:cite:hmt:pers.pers154	Elatus	2	0.05%	0.0%
urn:cite:hmt:pers.pers244	Eurypylus	2	0.05%	0.0%
urn:cite:hmt:pers.pers546	Triptolemus	2	0.05%	0.0%
urn:cite:hmt:pers.pers299	Pythagoras	2	0.05%	0.0%
urn:cite:hmt:pers.pers455	Thamyris	2	0.05%	0.0%
urn:cite:hmt:pers.pers313	Agrius	2	0.05%	0.0%
urn:cite:hmt:pers.pers229	Odius	2	0.05%	0.0%
urn:cite:hmt:pers.pers317	Pasiphae	2	0.05%	0.0%
urn:cite:hmt:pers.pers674	Bias	2	0.05%	0.0%
urn:cite:hmt:pers.pers338	Periclymenus	2	0.05%	0.0%
urn:cite:hmt:pers.pers457	Demodocus	2	0.05%	0.0%
urn:cite:hmt:pers.pers634	Daetor	1	0.03%	0.0%
urn:cite:hmt:pers.pers943	Actor	1	0.03%	0.0%
urn:cite:hmt:pers.pers894	Hypnos	1	0.03%	0.0%
urn:cite:hmt:pers.pers1015	Polyxo	1	0.03%	0.0%
urn:cite:hmt:pers.pers413	Ancaeus	1	0.03%	0.0%
urn:cite:hmt:pers.pers551	Adamas	1	0.03%	0.0%
urn:cite:hmt:pers.pers430	Chalciope	1	0.03%	0.0%
urn:cite:hmt:pers.pers925	Dictys	1	0.03%	0.0%
urn:cite:hmt:pers.pers270	Sthenelus	1	0.03%	0.0%
urn:cite:hmt:pers.pers328	Dia	1	0.03%	0.0%
urn:cite:hmt:pers.pers1010	Ambrosia	1	0.03%	0.0%
urn:cite:hmt:pers.pers744	Mynes	1	0.03%	0.0%
urn:cite:hmt:pers.pers209	Hestia	1	0.03%	0.0%
urn:cite:hmt:pers.pers339	Stesichorus	1	0.03%	0.0%
urn:cite:hmt:pers.pers186	Phidias	1	0.03%	0.0%
urn:cite:hmt:pers.pers61	Libya	1	0.03%	0.0%
urn:cite:hmt:pers.pers979	Apollonius Dyscolus	1	0.03%	0.0%
urn:cite:hmt:pers.pers164	Pandrosus	1	0.03%	0.0%
urn:cite:hmt:pers.pers349	Prothoenor	1	0.03%	0.0%
urn:cite:hmt:pers.pers284	Penelope	1	0.03%	0.0%
urn:cite:hmt:pers.pers630	Agelaus	1	0.03%	0.0%
urn:cite:hmt:pers.pers374	Christodorus	1	0.03%	0.0%
urn:cite:hmt:pers.pers687	Laodice	1	0.03%	0.0%
urn:cite:hmt:pers.pers573	Nausicaa	1	0.03%	0.0%
urn:cite:hmt:pers.pers637	Melanippus	1	0.03%	0.0%
urn:cite:hmt:pers.pers179	Dia	1	0.03%	0.0%
urn:cite:hmt:pers.pers615	Diogenes	1	0.03%	0.0%
urn:cite:hmt:pers.pers533	Eratosthenes	1	0.03%	0.0%
urn:cite:hmt:pers.pers648	Hippolochus	1	0.03%	0.0%
urn:cite:hmt:pers.pers620	Nemesis	1	0.03%	0.0%
urn:cite:hmt:pers.pers306	Dionysidorus	1	0.03%	0.0%
urn:cite:hmt:pers.pers429	Chrestone	1	0.03%	0.0%
urn:cite:hmt:pers.pers544	Orpheus	1	0.03%	0.0%
