Iliad Line,Label,First Scholion,Second Scholion
urn:cts:greekLit:tlg0012.tlg001.msA:1.598,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1448,urn:cts:greekLit:tlg5026.msAil.hmt:1.1473
urn:cts:greekLit:tlg0012.tlg001.msA:1.600,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.1449,urn:cts:greekLit:tlg5026.msAil.hmt:1.1476
urn:cts:greekLit:tlg0012.tlg001.msA:1.63,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.73,urn:cts:greekLit:tlg5026.msAil.hmt:1.220
urn:cts:greekLit:tlg0012.tlg001.msA:1.66,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.75,urn:cts:greekLit:tlg5026.msAil.hmt:1.223
urn:cts:greekLit:tlg0012.tlg001.msA:1.67,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.76,urn:cts:greekLit:tlg5026.msAil.hmt:1.224
urn:cts:greekLit:tlg0012.tlg001.msA:1.8,ImInt,urn:cts:greekLit:tlg5026.msAim.hmt:1.19,urn:cts:greekLit:tlg5026.msAint.hmt:1.27
urn:cts:greekLit:tlg0012.tlg001.msA:1.80,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:1.94,urn:cts:greekLit:tlg5026.msAim.hmt:1.109
urn:cts:greekLit:tlg0012.tlg001.msA:1.88,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.100,urn:cts:greekLit:tlg5026.msAil.hmt:1.151
urn:cts:greekLit:tlg0012.tlg001.msA:1.90,MainIl,urn:cts:greekLit:tlg5026.msA.hmt:1.101,urn:cts:greekLit:tlg5026.msAil.hmt:1.153
urn:cts:greekLit:tlg0012.tlg001.msA:1.91,IntIl,urn:cts:greekLit:tlg5026.msAil.hmt:1.154,urn:cts:greekLit:tlg5026.msAint.hmt:1.113
urn:cts:greekLit:tlg0012.tlg001.msA:10.124,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.1009,urn:cts:greekLit:tlg5026.msAint.hmt:10.1015
urn:cts:greekLit:tlg0012.tlg001.msA:10.127,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.1500,urn:cts:greekLit:tlg5026.msAim.hmt:10.1507
urn:cts:greekLit:tlg0012.tlg001.msA:10.13,MainInt,urn:cts:greekLit:tlg5026.msA.hmt:10.12,urn:cts:greekLit:tlg5026.msAint.hmt:10.33
urn:cts:greekLit:tlg0012.tlg001.msA:10.142,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.1505,urn:cts:greekLit:tlg5026.msAim.hmt:10.1510
urn:cts:greekLit:tlg0012.tlg001.msA:10.161,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.1526,urn:cts:greekLit:tlg5026.msAim.hmt:10.1533
urn:cts:greekLit:tlg0012.tlg001.msA:10.19,MainIm,urn:cts:greekLit:tlg5026.msA.hmt:10.15,urn:cts:greekLit:tlg5026.msAim.hmt:10.34
urn:cts:greekLit:tlg0012.tlg001.msA:10.194,MainExt,urn:cts:greekLit:tlg5026.msA.hmt:10.1551,urn:cts:greekLit:tlg5026.msAext.hmt:10.1557
urn:cts:greekLit:tlg0012.tlg001.msA:10.199,ImInt,urn:cts:greekLit:tlg5026.msAim.hmt:10.1553,urn:cts:greekLit:tlg5026.msAint.hmt:10.1555
