οὗν	noun_preposition_preposition_	ὗς_ἐν_εἰς_
ὑπέρτερος	adjective_adjective_	ὑπέρτερος_ὑπέρ_
μηκώμεναι	verb_verb_	μηκάζω_μηκάομαι_
ἔναυλον	noun_noun_adjective_	ἔναυλος1_ἔναυλον_ἔναυλος2_
νόθους	verb_adjective_	νοθόω_νόθος_
ἔσσεαι	verb_verb_	εἰμί_ἔσσομαι_
ἀποτελέσῃ	noun_verb_	ἀποτέλεσις_ἀποτελέω_
κοιλοτέρου	adjective_adjective_	κοῖλος_κόιλος_
ποίας	adjective_noun_	ποῖος_πόα_
ὑπακουστέον	adjective_adjective_	ὑπακουστέος_ὑπακουστέον_
σεῦ	verb_pronoun_	σέω_σύ_
διανοούμενον	verb_verb_	διανοέομαι_διανοέω_
πρόβατ'	noun_verb_	πρόβατον_προβαίνω_
λύπη	noun_verb_	λύπη_λυπέω_
δοκῷ	noun_verb_noun_	δοκός_δοκάζω_δοκόν_
σχεδίας	adjective_noun_	σχέδιος_σχεδία_
Βῆσσαν	noun_noun_	Βῆσσα_βῆσσα_
Πλούταρχος	adjective_noun_	πλούταρχος_Πλούταρχος_
ἔναρα	adjective_noun_	ἔναρος_ἔναρα_
ἧσαι	verb_verb_verb_	ἥδομαι_ἧμαι_κάθημαι_
δεκάτου	verb_adjective_	δεκατόω_δέκατος_
νεκρῶν	verb_adjective_	νεκρόω_νεκρός_
πειρᾶντ'	verb_verb_	πειράω_πειράζω_
Αἰτωλοί	adjective_noun_	Αἰτωλός_Αἰτωλοί_
ἕρμ'	noun_noun_	ἕρμα1_ἕρμα2_
ἄφ'	preposition_noun_	ἀπό_ἄπαις_
εὐθέως	adjective_adjective_adverb_adverb_	εὐθής_εὐθύς1_εὐθέως_εὐθύς2_
ταχέως	adverb_adjective_	ταχέως_ταχύς_
δεινοῦ	verb_adjective_	δεινόω_δεινός_
αὖον	verb_verb_adjective_	αὔω2_αὔω1_αὖος_
ἀποαιρεῖσθαι	verb_verb_	ἀποαιρέομαι_ἀφαιρέω_
πιμελῆς	adjective_noun_	πιμελής_πιμελή_
Θεσσαλία	noun_noun_	Θεσσαλίη_Θεσσαλία_
Κλυταιμνήστραν	noun_noun_	Κλυταιμνήστρα_Κλυταιμνήστρη_
ὅμοιος	adjective_adjective_	ὁμοῖος_ὅμοιος_
ἀμβροσίαν	noun_noun_adjective_	ἀμβροσίη_ἀμβροσία_ἀμβρόσιος_
ζῷον	noun_noun_	ζῷον_ζώιον_
κόμης	verb_noun_noun_	κομάω_κόμη_κόμης_
φίλη	adjective_noun_verb_	φίλος_φῖλος_φιλέω_
καταγαζόμεναι	verb_verb_	κατά-ἀγάζω_κατά-ἄγαμαι_
φυτῶ	noun_adjective_	φυτόν_φυτός_
ἀμβρόσιαι	adjective_noun_	ἀμβρόσιος_ἀμβροσία_
Ἄρηα	noun_noun_noun_	Ἄρις_Ἄρης_Ἄρευς_
λέγειν	verb_verb_verb_	λέγω1_λέγω3_λέγω2_
μυθέομαι	verb_verb_	μυθέομαι_μυθέω_
σκύλων	verb_noun_	σκυλάω_σκῦλον_
δαῖτα	noun_noun_	δαίτης_δαίς3_
βιάσασθαι	verb_verb_	βιάω_βιάζω_
διαβεβαιοῦν	verb_verb_	διαβεβαιόω_διαβεβαιόομαι_
οἰκτείρει	verb_verb_verb_verb_	οἰκτείρω_ορέω_οἰκτειρέω_ʼκ̓τείρω_
νῶτον	noun_noun_	νῶτος_νῶτον_
τιμήσουσι	verb_verb_	τιμέω_τιμάω_
ἀκμῆς	verb_noun_	ἀκμάζω_ἀκμή_
ἱστᾶσι	verb_verb_	ἵστημι_ἱστάω_
ἱερέων	noun_noun_adjective_noun_	ἱεραί_ἱερή_ἱερός_ἱερά_
υἱοὶ	verb_noun_	υἱόω_υἱός_
τελείου	verb_verb_adjective_	τελειόω_τελέω_τέλειος_
Ἔννομος	adjective_noun_	ἔννομος_Ἔννομος_
Θυέστα	noun_noun_	θυέστης_Θυέστης_
Πατρόκλῳ	noun_noun_	Πάτροκλος_Πατρόκλον_
βασίλισσαν	noun_verb_noun_	βασίλισσα_βασιλίζω_βασιλεία_
