urn:cts:greekLit:tlg0012.tlg001.msA:11.630	msA.hmt:11.227 vs msAint.hmt:11.34	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:11.640	msA.hmt:11.235 vs msAim.hmt:11.77	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.672	msA.hmt:11.244 vs msAim.hmt:11.81	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:11.689	msAim.hmt:11.83 vs msAint.hmt:11.42	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.699	msA.hmt:11.262 vs msAint.hmt:11.44	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.72	msA.hmt:11.37 vs msAim.hmt:11.8	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.728	msA.hmt:11.275 vs msAext.hmt:11.17	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.754	msA.hmt:11.285 vs msAim.hmt:11.87	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:11.801	msA.hmt:11.294 vs msAim.hmt:11.93	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.105	msA.hmt:12.E1 vs msAim.hmt:12.E1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.131	msAext.hmt:12.G1 vs msAim.hmt:12.G2	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.147	msA.hmt:12.G9 vs msAint.hmt:12.G3	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.153	msA.hmt:12.E10 vs msAim.hmt:12.E3	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:12.17	msA.hmt:12.A9 vs msAext.hmt:12.A2	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.193	msA.hmt:12.H6 vs msAint.hmt:12.H1	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:12.211	msA.hmt:12.H14 vs msAim.hmt:12.H3	40.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.213	msA.hmt:12.H15 vs msAim.hmt:12.H4	11.11%
urn:cts:greekLit:tlg0012.tlg001.msA:12.26	msA.hmt:12.B1 vs msAint.hmt:12.B1	14.29%
urn:cts:greekLit:tlg0012.tlg001.msA:12.280	msA.hmt:12.G20 vs msAim.hmt:12.G3	30.77%
urn:cts:greekLit:tlg0012.tlg001.msA:12.301	msA.hmt:12.G29 vs msAint.hmt:12.G10	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.33	msA.hmt:12.B3 vs msAim.hmt:12.B2	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:12.34	msA.hmt:12.B4 vs msAext.hmt:12.B1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.350	msA.hmt:12.H40 vs msAint.hmt:12.H5	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.36	msA.hmt:12.B5 vs msAint.hmt:12.B2	44.44%
urn:cts:greekLit:tlg0012.tlg001.msA:12.40	msA.hmt:12.B7 vs msAint.hmt:12.B3	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.435	msA.hmt:12.F9 vs msAint.hmt:12.F3	75.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.446	msAext.hmt:12.F1 vs msAint.hmt:12.F4	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.451	msA.hmt:12.F15 vs msAint.hmt:12.F5	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.46	msA.hmt:12.B8 vs msAint.hmt:12.B5	12.5%
urn:cts:greekLit:tlg0012.tlg001.msA:12.463	msA.hmt:12.J6 vs msAim.hmt:12.J2	11.11%
urn:cts:greekLit:tlg0012.tlg001.msA:12.468	msA.hmt:12.J7 vs msAim.hmt:12.J4	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:12.77	msA.hmt:12.D1 vs msAim.hmt:12.D2	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.110	msA.hmt:14.E13 vs msAext.hmt:14.E2	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:14.114	msA.hmt:14.E14 vs msAint.hmt:14.E10	50.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.135	msAext.hmt:14.G1 vs msAint.hmt:14.G2	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.145	msA.hmt:14.G7 vs msAim.hmt:14.G1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.147	msA.hmt:14.G9 vs msAim.hmt:14.G2	16.67%
urn:cts:greekLit:tlg0012.tlg001.msA:14.148	msA.hmt:14.G8 vs msAint.hmt:14.G3	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.157	msA.hmt:14.G11 vs msAim.hmt:14.G4	40.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.16	msA.hmt:14.B11 vs msAim.hmt:14.B1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.173	msA.hmt:14.G19 vs msAim.hmt:14.G7	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:14.202	msAext.hmt:14.C2 vs msAint.hmt:14.C4	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.203	msAil.hmt:14.C5 vs msAim.hmt:14.C4	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.229	msA.hmt:14.C19 vs msAint.hmt:14.C7	22.22%
urn:cts:greekLit:tlg0012.tlg001.msA:14.235	msA.hmt:14.C21 vs msAint.hmt:14.C8	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.249	msA.hmt:14.C26 vs msAint.hmt:14.C11	55.56%
urn:cts:greekLit:tlg0012.tlg001.msA:14.25	msA.hmt:14.B14 vs msAim.hmt:14.B3	33.33%
urn:cts:greekLit:tlg0012.tlg001.msA:14.299	msA.hmt:14.H18 vs msAint.hmt:14.H3	11.11%
urn:cts:greekLit:tlg0012.tlg001.msA:14.303	msAext.hmt:14.H1 vs msAint.hmt:14.H4	100.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.322	msA.hmt:14.H26 vs msAim.hmt:14.H7	11.11%
urn:cts:greekLit:tlg0012.tlg001.msA:14.324	msA.hmt:14.H27 vs msAint.hmt:14.H5	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.340	msA.hmt:14.A3 vs msAim.hmt:14.A1	25.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.348	msA.hmt:14.A4 vs msAext.hmt:14.A1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.349	msA.hmt:14.A5 vs msAint.hmt:14.A1	66.67%
urn:cts:greekLit:tlg0012.tlg001.msA:14.36	msA.hmt:14.B17 vs msAint.hmt:14.B1	20.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.364	msA.hmt:14.A7 vs msAext.hmt:14.A3	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.382	msA.hmt:14.D1 vs msAint.hmt:14.D1	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.398	msAext.hmt:14.D4 vs msAim.hmt:14.D2	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.412	msA.hmt:14.D10 vs msAim.hmt:14.D3	61.54%
urn:cts:greekLit:tlg0012.tlg001.msA:14.418	msA.hmt:14.D13 vs msAim.hmt:14.D5	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.424	msA.hmt:14.D16 vs msAim.hmt:14.D6	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.45	msA.hmt:14.B25 vs msAim.hmt:14.B5	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.474	msAil.hmt:14.F1 vs msAim.hmt:14.F5	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.48	msA.hmt:14.B26 vs msAint.hmt:14.B3	0.0%
urn:cts:greekLit:tlg0012.tlg001.msA:14.483	msAil.hmt:14.F3 vs msAim.hmt:14.F7	0.0%
