Line Number	Scholia Being Compared and percentage of Words from the Small Schol in the Longer Schol
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.179 (14) vs msAint.hmt:18.42 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.180 (34) vs msAim.hmt:18.57 (10): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msA.hmt:18.180 (34) vs msAint.hmt:18.42 (5): 1.0 (20.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:18.506	msAim.hmt:18.57 (10) vs msAint.hmt:18.42 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msA.hmt:2.174 (18) vs msAil.hmt:2.204 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msA.hmt:2.174 (18) vs msAil.hmt:2.205 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msA.hmt:2.174 (18) vs msAil.hmt:2.206 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msA.hmt:2.174 (18) vs msAint.hmt:2.193 (5): 2.0 (40.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msAil.hmt:2.204 (2) vs msAil.hmt:2.205 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msAil.hmt:2.204 (2) vs msAil.hmt:2.206 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msAint.hmt:2.193 (5) vs msAil.hmt:2.204 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msAil.hmt:2.205 (2) vs msAil.hmt:2.206 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msAint.hmt:2.193 (5) vs msAil.hmt:2.205 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.116	msAint.hmt:2.193 (5) vs msAil.hmt:2.206 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msA.hmt:2.233 (11) vs msAil.hmt:2.264 (5): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msA.hmt:2.233 (11) vs msAil.hmt:2.265 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msA.hmt:2.233 (11) vs msAil.hmt:2.266 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msA.hmt:2.233 (11) vs msAim.hmt:2.241 (4): 2.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msAil.hmt:2.264 (5) vs msAil.hmt:2.265 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msAil.hmt:2.264 (5) vs msAil.hmt:2.266 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msAil.hmt:2.264 (5) vs msAim.hmt:2.241 (4): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msAil.hmt:2.265 (2) vs msAil.hmt:2.266 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msAim.hmt:2.241 (4) vs msAil.hmt:2.265 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.154	msAim.hmt:2.241 (4) vs msAil.hmt:2.266 (2): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msA.hmt:2.374 (18) vs msAil.hmt:2.400 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msA.hmt:2.374 (18) vs msAil.hmt:2.401 (2): 1.0 (50.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msA.hmt:2.374 (18) vs msAim.hmt:2.390 (13): 1.0 (7.69%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msA.hmt:2.374 (18) vs msAint.hmt:2.394 (12): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msAil.hmt:2.401 (2) vs msAil.hmt:2.400 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msAim.hmt:2.390 (13) vs msAil.hmt:2.400 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msAint.hmt:2.394 (12) vs msAil.hmt:2.400 (1): 0.0 (0.0%)
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	msAim.hmt:2.390 (13) vs msAil.hmt:2.401 (2): 0.0 (0.0%)
